Indice,Probabilidad,Resultado
1,0.96158236,Exoplaneta
2,0.9598053,Exoplaneta
3,0.5011013,Exoplaneta
4,0.6952305,Exoplaneta
5,0.6763575,Exoplaneta
6,0.8299704,Exoplaneta
7,0.7232595,Exoplaneta
8,0.5875385,Exoplaneta
9,0.6611663,Exoplaneta
10,0.96213037,Exoplaneta
11,0.62285715,Exoplaneta
12,0.2261479,No exoplaneta
13,0.79348314,Exoplaneta
14,0.9417224,Exoplaneta
15,0.5842127,Exoplaneta
16,0.70851773,Exoplaneta
17,0.26090488,No exoplaneta
18,0.703298,Exoplaneta
19,0.9395013,Exoplaneta
20,0.926764,Exoplaneta
21,0.8922183,Exoplaneta
22,0.9546065,Exoplaneta
23,0.940084,Exoplaneta
24,0.92778736,Exoplaneta
25,0.85184366,Exoplaneta
26,0.96886057,Exoplaneta
27,0.8490054,Exoplaneta
28,0.72181845,Exoplaneta
29,0.4887812,No exoplaneta
30,0.12712036,No exoplaneta
31,0.43377447,No exoplaneta
32,0.9512168,Exoplaneta
33,0.95995456,Exoplaneta
34,0.9629919,Exoplaneta
35,0.8861785,Exoplaneta
36,0.84571564,Exoplaneta
37,0.7230874,Exoplaneta
38,0.90334976,Exoplaneta
39,0.6532781,Exoplaneta
40,0.79788107,Exoplaneta
41,0.6251671,Exoplaneta
42,0.9544596,Exoplaneta
43,0.6625196,Exoplaneta
44,0.78540283,Exoplaneta
45,0.71038806,Exoplaneta
46,0.86452645,Exoplaneta
47,0.73636794,Exoplaneta
48,0.7213006,Exoplaneta
49,0.94462436,Exoplaneta
50,0.9548452,Exoplaneta
51,0.91855854,Exoplaneta
52,0.9597629,Exoplaneta
53,0.9527346,Exoplaneta
54,0.58854693,Exoplaneta
55,0.96407086,Exoplaneta
56,0.96293896,Exoplaneta
57,0.9600037,Exoplaneta
58,0.6411807,Exoplaneta
59,0.6491815,Exoplaneta
60,0.9253285,Exoplaneta
61,0.4712008,No exoplaneta
62,0.9432983,Exoplaneta
63,0.069546156,No exoplaneta
64,0.85783,Exoplaneta
65,0.95413697,Exoplaneta
66,0.6524355,Exoplaneta
67,0.7588391,Exoplaneta
68,0.95927614,Exoplaneta
